,0
0,14.7
1,14.95
2,14.6
3,14.45
4,14.9
5,14.2
6,14.0
7,13.75
8,13.8
9,13.5
10,13.2
11,13.8
12,13.6
13,13.3
14,13.35
15,13.3
16,13.4
17,14.0
18,13.8
19,13.95
20,13.55
21,13.5
22,13.5
23,13.15
24,12.85
25,12.85
26,12.05
27,12.45
28,12.5
29,12.6
30,12.7
31,12.5
32,12.4
33,12.5
34,12.6
35,12.65
36,12.85
37,12.85
38,13.35
39,13.3
40,13.85
41,14.35
42,14.25
43,14.3
44,13.85
45,13.9
46,13.15
47,13.45
48,12.95
49,13.3
50,13.6
51,13.75
52,14.8
53,15.1
54,14.55
55,14.75
56,14.65
57,14.15
58,13.7
59,13.65
60,14.25
61,14.4
62,14.05
63,13.7
64,13.6
65,13.55
66,13.55
67,13.5
68,14.15
69,13.9
70,13.6
71,13.95
72,13.45
73,13.1
74,13.0
75,13.1
76,13.3
77,12.8
78,11.55
79,11.1
80,11.15
81,11.65
82,12.0
83,12.25
84,12.6
85,13.7
86,14.2
87,14.0
88,14.35
89,14.35
90,14.45
91,15.1
92,15.1
93,15.1
94,15.4
95,15.15
96,15.15
97,15.95
98,15.8
99,16.1
100,15.9
101,15.05
102,15.3
103,15.5
104,15.8
105,16.05
106,15.9
107,16.1
108,16.05
109,16.25
110,16.2
111,16.6
112,16.85
113,16.75
114,16.7
115,17.1
116,17.25
117,17.05
118,17.1
119,16.9
120,16.75
121,16.8
122,16.75
123,17.05
124,17.2
125,17.15
126,17.2
127,17.2
128,17.3
129,17.1
130,17.2
131,17.3
132,15.7
133,15.85
134,15.8
135,15.8
136,15.8
137,15.8
138,15.8
139,15.75
140,15.15
141,14.9
142,15.2
143,15.0
144,15.1
145,14.75
146,15.5
147,15.5
148,15.4
149,15.35
150,15.6
151,15.2
152,14.9
153,14.85
154,14.8
155,14.8
156,14.8
157,14.8
158,15.0
159,15.1
160,15.7
161,15.55
162,16.4
163,16.1
164,16.15
165,16.1
166,16.1
167,15.95
168,16.0
169,16.2
170,15.7
171,15.4
172,15.0
173,15.1
174,14.0
175,13.7
176,13.8
177,13.4
178,13.4
179,13.8
180,14.05
181,13.6
182,13.6
183,13.7
184,14.0
185,14.0
186,14.0
187,13.9
188,14.1
189,14.45
190,14.3
191,14.95
192,14.55
193,14.55
194,14.85
195,14.8
196,14.7
197,14.7
198,14.6
199,14.95
200,14.8
201,14.95
202,14.85
203,14.9
204,15.0
205,15.4
206,15.25
207,14.95
208,14.95
209,14.55
210,14.55
211,14.55
212,14.8
213,14.3
214,14.4
215,14.3
216,14.4
217,14.45
218,14.9
219,15.15
220,14.95
221,14.85
222,14.55
223,13.95
224,14.55
225,14.55
226,14.15
227,14.1
228,14.1
229,14.15
230,14.85
231,15.05
232,15.05
233,15.2
234,15.15
235,15.5
236,15.8
237,15.4
238,15.55
239,15.25
240,15.2
241,15.05
242,15.1
243,14.9
244,14.45
245,14.45
246,14.4
247,14.65
248,14.9
249,14.75
250,14.75
251,14.35
252,14.3
253,14.4
254,14.7
255,14.6
256,14.65
257,14.7
258,14.8
259,15.1
260,15.05
261,15.1
262,15.25
263,15.1
264,15.25
265,15.25
266,15.2
267,15.1
268,14.75
269,14.9
270,14.85
271,15.0
272,15.25
