,0,1
0,91.4,10475.0
1,91.8,10500.0
2,91.8,10500.0
3,93.5,10750.0
4,91.0,10650.0
5,84.7,10425.0
6,84.0,10325.0
7,85.8,10150.0
8,87.1,10125.0
9,86.1,10175.0
10,83.9,9950.0
11,84.5,10000.0
12,86.7,10000.0
13,86.3,9950.0
14,86.0,9925.0
15,86.2,9950.0
16,91.1,9925.0
17,90.9,9925.0
18,91.7,9950.0
19,90.4,9875.0
20,89.4,9900.0
21,89.3,9850.0
22,89.3,9825.0
23,85.0,9825.0
24,86.2,9775.0
25,86.2,9625.0
26,80.4,8900.0
27,83.3,9025.0
28,82.9,8950.0
29,82.5,9050.0
30,82.6,9125.0
31,80.0,8925.0
32,76.4,8975.0
33,78.0,9050.0
34,81.6,9050.0
35,82.2,9075.0
36,81.3,9100.0
37,81.6,9050.0
38,81.2,9050.0
39,78.5,8950.0
40,79.9,9050.0
41,81.0,9150.0
42,80.8,9150.0
43,81.2,9125.0
44,80.5,8875.0
45,80.1,8825.0
46,77.7,8425.0
47,74.1,8150.0
48,74.4,8300.0
49,76.2,8425.0
50,79.4,8450.0
51,77.4,8400.0
52,77.6,8400.0
53,75.5,8400.0
54,74.1,8350.0
55,73.3,8325.0
56,70.8,8200.0
57,69.3,8200.0
58,62.4,7925.0
59,60.9,7825.0
60,59.9,7900.0
61,62.7,8000.0
62,62.1,8000.0
63,60.5,7900.0
64,55.1,7900.0
65,59.0,7950.0
66,59.5,7925.0
67,62.0,7975.0
68,62.3,8300.0
69,62.0,8050.0
70,60.9,8125.0
71,61.0,8175.0
72,61.0,8500.0
73,60.9,8500.0
74,61.2,8500.0
75,60.1,8400.0
76,62.0,8375.0
77,56.5,8325.0
78,50.9,7500.0
79,51.5,6150.0
80,52.5,6150.0
81,54.6,6225.0
82,54.3,6350.0
83,55.2,6975.0
84,55.8,7425.0
85,55.9,7300.0
86,57.0,7450.0
87,57.8,7650.0
88,52.5,7475.0
89,53.0,7500.0
90,54.0,7500.0
91,54.3,7225.0
92,56.5,7250.0
93,55.4,7175.0
94,55.0,7150.0
95,54.5,7125.0
96,59.9,7150.0
97,61.3,7325.0
98,58.6,7125.0
99,59.1,7175.0
100,56.4,7000.0
101,53.8,6825.0
102,54.5,6825.0
103,53.3,6575.0
104,54.8,6550.0
105,56.1,6550.0
106,56.7,6450.0
107,55.9,6425.0
108,57.8,6500.0
109,58.6,6450.0
110,57.1,6450.0
111,57.5,6400.0
112,59.4,6425.0
113,59.4,6475.0
114,58.4,6425.0
115,60.1,6400.0
116,61.6,6450.0
117,60.4,6475.0
118,62.1,6300.0
119,68.3,6275.0
120,72.9,6375.0
121,73.2,6400.0
122,70.9,6500.0
123,70.0,6600.0
124,67.6,6750.0
125,69.2,6775.0
126,68.9,6775.0
127,71.4,6800.0
128,71.6,6750.0
129,68.9,6825.0
130,66.7,6825.0
131,68.6,6800.0
132,66.7,6600.0
133,64.2,6525.0
134,62.7,6725.0
135,62.7,6550.0
136,64.3,6675.0
137,64.6,6475.0
138,69.4,6500.0
139,67.9,6475.0
