,0
0,91.4
1,91.8
2,91.8
3,93.5
4,91.0
5,84.7
6,84.0
7,85.8
8,87.1
9,86.1
10,83.9
11,84.5
12,86.7
13,86.3
14,86.0
15,86.2
16,91.1
17,90.9
18,91.7
19,90.4
20,89.4
21,89.3
22,89.3
23,85.0
24,86.2
25,86.2
26,80.4
27,83.3
28,82.9
29,82.5
30,82.6
31,80.0
32,76.4
33,78.0
34,81.6
35,82.2
36,81.3
37,81.6
38,81.2
39,78.5
40,79.9
41,81.0
42,80.8
43,81.2
44,80.5
45,80.1
46,77.7
47,74.1
48,74.4
49,76.2
50,79.4
51,77.4
52,77.6
53,75.5
54,74.1
55,73.3
56,70.8
57,69.3
58,62.4
59,60.9
60,59.9
61,62.7
62,62.1
63,60.5
64,55.1
65,59.0
66,59.5
67,62.0
68,62.3
69,62.0
70,60.9
71,61.0
72,61.0
73,60.9
74,61.2
75,60.1
76,62.0
77,56.5
78,50.9
79,51.5
80,52.5
81,54.6
82,54.3
83,55.2
84,55.8
85,55.9
86,57.0
87,57.8
88,52.5
89,53.0
90,54.0
91,54.3
92,56.5
93,55.4
94,55.0
95,54.5
96,59.9
97,61.3
98,58.6
99,59.1
100,56.4
101,53.8
102,54.5
103,53.3
104,54.8
105,56.1
106,56.7
107,55.9
108,57.8
109,58.6
110,57.1
111,57.5
112,59.4
113,59.4
114,58.4
115,60.1
116,61.6
117,60.4
118,62.1
119,68.3
120,72.9
121,73.2
122,70.9
123,70.0
124,67.6
125,69.2
126,68.9
127,71.4
128,71.6
129,68.9
130,66.7
131,68.6
132,66.7
133,64.2
134,62.7
135,62.7
136,64.3
137,64.6
138,69.4
139,67.9
140,67.2
141,65.5
142,65.5
143,66.3
144,65.0
145,63.6
146,66.6
147,66.6
148,67.1
149,67.8
150,68.3
151,66.4
152,64.0
153,64.0
154,61.9
155,61.4
156,62.3
157,62.6
158,63.4
159,63.4
160,63.5
161,62.2
162,62.0
163,60.9
164,60.9
165,61.3
166,60.8
167,61.8
168,60.9
169,60.6
170,59.3
171,55.7
172,51.7
173,53.2
174,51.9
175,51.4
176,52.4
177,52.0
178,51.7
179,54.1
180,53.6
181,52.5
182,52.7
183,53.4
184,54.4
185,53.8
186,53.5
187,54.0
188,58.0
189,63.8
190,62.8
191,63.0
192,62.0
193,61.9
194,63.4
195,62.6
196,63.2
197,64.2
198,65.8
199,72.3
200,73.5
201,77.2
202,78.0
203,80.1
204,81.8
205,81.4
206,80.8
207,80.2
208,83.4
209,81.2
210,80.1
211,82.5
212,90.7
213,85.0
214,86.1
215,86.6
216,88.0
217,87.8
218,85.6
219,83.9
220,81.6
221,81.2
222,79.6
223,73.4
224,77.9
225,78.7
226,78.1
227,78.2
228,80.8
229,79.2
230,76.5
231,74.2
232,74.8
233,72.6
234,75.3
235,78.7
236,78.6
237,76.1
238,76.2
239,74.7
240,69.6
241,72.0
242,70.5
243,70.3
244,70.0
245,69.6
246,70.8
247,71.5
248,71.9
249,72.5
250,72.1
251,70.2
252,70.6
253,72.5
254,75.5
255,75.5
256,75.4
257,72.9
258,71.6
259,73.7
260,73.3
261,80.6
262,79.5
263,81.3
264,83.0
265,81.5
266,81.1
267,81.2
268,82.5
269,82.0
270,81.7
271,81.7
272,82.5
273,80.1
274,79.9
275,78.9
276,77.5
277,77.0
278,79.7
279,79.3
280,79.2
281,79.3
282,82.5
283,87.5
284,87.9
285,85.6
286,84.4
287,85.0
288,85.3
289,87.5
290,85.8
