,0,1
0,14.7,10475.0
1,14.95,10500.0
2,14.6,10500.0
3,14.45,10750.0
4,14.9,10650.0
5,14.2,10425.0
6,14.0,10325.0
7,13.75,10150.0
8,13.8,10125.0
9,13.5,10175.0
10,13.2,9950.0
11,13.8,10000.0
12,13.6,10000.0
13,13.3,9950.0
14,13.35,9925.0
15,13.3,9950.0
16,13.4,9925.0
17,14.0,9925.0
18,13.8,9950.0
19,13.95,9875.0
20,13.55,9900.0
21,13.5,9850.0
22,13.5,9825.0
23,13.15,9825.0
24,12.85,9775.0
25,12.85,9625.0
26,12.05,8900.0
27,12.45,9025.0
28,12.5,8950.0
29,12.6,9050.0
30,12.7,9125.0
31,12.5,8925.0
32,12.4,8975.0
33,12.5,9050.0
34,12.6,9050.0
35,12.65,9075.0
36,12.85,9100.0
37,12.85,9050.0
38,13.35,9050.0
39,13.3,8950.0
40,13.85,9050.0
41,14.35,9150.0
42,14.25,9150.0
43,14.3,9125.0
44,13.85,8875.0
45,13.9,8825.0
46,13.15,8425.0
47,13.45,8150.0
48,12.95,8300.0
49,13.3,8425.0
50,13.6,8450.0
51,13.75,8400.0
52,14.8,8400.0
53,15.1,8400.0
54,14.55,8350.0
55,14.75,8325.0
56,14.65,8200.0
57,14.15,8200.0
58,13.7,7925.0
59,13.65,7825.0
60,14.25,7900.0
61,14.4,8000.0
62,14.05,8000.0
63,13.7,7900.0
64,13.6,7900.0
65,13.55,7950.0
66,13.55,7925.0
67,13.5,7975.0
68,14.15,8300.0
69,13.9,8050.0
70,13.6,8125.0
71,13.95,8175.0
72,13.45,8500.0
73,13.1,8500.0
74,13.0,8500.0
75,13.1,8400.0
76,13.3,8375.0
77,12.8,8325.0
78,11.55,7500.0
79,11.1,6150.0
80,11.15,6150.0
81,11.65,6225.0
82,12.0,6350.0
83,12.25,6975.0
84,12.6,7425.0
85,13.7,7300.0
86,14.2,7450.0
87,14.0,7650.0
88,14.35,7475.0
89,14.35,7500.0
90,14.45,7500.0
91,15.1,7225.0
92,15.1,7250.0
93,15.1,7175.0
94,15.4,7150.0
95,15.15,7125.0
96,15.15,7150.0
97,15.95,7325.0
98,15.8,7125.0
99,16.1,7175.0
100,15.9,7000.0
101,15.05,6825.0
102,15.3,6825.0
103,15.5,6575.0
104,15.8,6550.0
105,16.05,6550.0
106,15.9,6450.0
107,16.1,6425.0
108,16.05,6500.0
109,16.25,6450.0
110,16.2,6450.0
111,16.6,6400.0
