,0
0,18.6
1,18.35
2,18.35
3,18.2
4,18.0
5,17.8
6,17.9
7,17.95
8,18.0
9,18.0
10,17.95
11,18.0
12,17.9
13,18.0
14,18.3
15,18.2
16,18.3
17,18.45
18,18.45
19,18.45
20,18.3
21,18.25
22,18.35
23,18.0
24,18.0
25,18.1
26,18.0
27,18.15
28,18.05
29,18.15
30,18.35
31,18.2
32,18.05
33,18.25
34,18.3
35,18.45
36,18.3
37,18.25
38,18.25
39,17.9
40,18.0
41,18.0
42,17.9
43,18.0
44,17.85
45,17.9
46,17.55
47,17.65
48,18.15
49,18.45
50,18.5
51,19.9
52,19.45
53,19.7
54,19.6
55,19.2
56,18.9
57,19.05
58,18.5
59,18.45
60,18.55
61,18.95
62,19.0
63,17.7
64,17.85
65,17.9
66,17.85
67,18.2
68,18.9
69,18.4
70,18.0
71,18.1
72,18.7
73,18.6
74,18.35
75,17.8
76,17.65
77,17.3
78,16.25
79,17.2
80,17.3
81,17.1
82,17.3
83,17.5
84,17.25
85,18.0
86,17.95
87,17.65
88,17.65
89,17.8
90,18.15
91,18.3
92,18.95
93,18.85
94,18.65
95,18.7
96,18.9
97,19.2
98,19.05
99,19.15
100,19.25
101,19.75
102,19.95
103,19.0
104,19.4
105,19.3
106,19.35
107,19.6
108,20.25
109,19.75
110,19.8
111,20.05
112,19.85
113,20.1
114,19.8
115,19.95
116,19.45
117,19.15
118,19.5
119,19.7
120,19.7
121,19.85
122,19.85
123,20.0
124,19.9
125,20.0
126,20.1
127,19.8
128,19.8
129,19.6
130,19.8
131,19.6
132,19.4
133,19.55
134,19.5
135,19.4
136,19.35
137,19.05
138,18.9
139,19.4
140,19.15
141,19.2
142,19.2
143,19.25
144,19.4
145,19.25
146,19.35
147,19.25
148,19.1
149,19.3
150,19.2
151,18.95
152,18.75
153,18.55
154,18.3
155,18.05
156,18.05
157,17.9
158,18.2
159,19.1
160,18.6
161,18.5
162,18.3
163,18.1
164,18.2
165,18.2
166,18.1
167,18.1
168,18.0
169,17.9
170,17.55
171,17.45
172,17.05
173,17.25
174,17.1
175,17.0
176,16.95
177,16.9
178,16.8
179,17.05
180,17.1
181,16.85
182,16.7
183,16.5
184,16.95
185,16.75
186,16.95
187,17.0
188,17.3
189,17.25
190,17.05
191,17.15
192,16.9
193,16.7
194,17.2
195,17.0
196,17.05
197,17.0
198,16.8
199,16.85
200,16.8
201,16.9
202,16.9
203,16.7
204,16.85
205,17.1
206,17.3
207,17.2
208,17.0
209,17.0
210,16.95
211,17.1
212,17.15
213,16.85
214,16.8
215,16.7
216,16.8
217,16.8
218,16.8
219,16.9
220,16.85
221,16.8
222,16.0
223,15.85
224,15.9
225,15.8
226,15.95
227,15.85
228,15.75
229,15.8
230,15.75
231,15.55
232,15.7
233,15.85
234,15.8
235,15.55
236,15.55
237,15.55
238,15.85
239,15.6
240,15.7
241,15.6
242,15.55
243,15.55
244,15.55
245,15.25
246,15.05
247,15.05
248,15.0
249,15.1
250,15.1
251,15.0
252,14.95
253,14.75
254,14.8
255,14.7
256,14.6
257,14.5
258,14.65
259,14.85
260,14.75
261,14.6
262,14.65
263,14.85
264,15.0
265,15.2
266,15.25
267,15.15
268,15.05
269,15.15
270,14.9
271,15.1
272,14.9
273,14.75
274,14.7
275,14.7
276,14.6
277,14.3
278,14.6
279,14.8
280,14.75
281,14.75
282,14.5
283,14.4
284,14.35
285,14.45
286,14.4
287,14.45
288,14.5
289,14.45
290,14.35
291,14.45
292,14.5
293,14.5
294,14.55
295,14.7
296,14.85
297,15.9
298,15.9
299,15.95
300,15.85
301,15.75
302,15.8
303,15.85
304,16.15
305,16.1
306,16.2
307,16.15
308,16.15
309,16.1
