,0
0,7.36
1,7.28
2,7.28
3,7.24
4,7.24
5,7.04
6,6.96
7,7.1
8,7.0
9,6.98
10,7.03
11,7.06
12,7.04
13,7.04
14,7.02
15,6.96
16,6.9
17,6.88
18,6.95
19,6.98
20,6.96
21,6.9
22,6.81
23,6.68
24,6.51
25,6.31
26,5.96
27,6.05
28,6.0
29,6.06
30,6.0
31,5.86
32,5.86
33,5.99
34,6.11
35,6.02
36,5.97
37,6.03
38,6.03
39,5.93
40,5.97
41,5.95
42,5.98
43,5.95
44,5.89
45,5.85
46,5.77
47,5.63
48,5.66
49,5.67
50,5.65
51,5.62
52,5.58
53,5.27
54,5.08
55,5.26
56,5.08
57,4.88
58,4.47
59,4.56
60,4.52
61,4.63
62,4.65
63,4.61
64,4.59
65,4.76
66,4.75
67,4.71
68,4.79
69,4.75
70,4.54
71,4.54
72,4.53
73,4.53
74,4.71
75,4.52
76,4.53
77,4.36
78,3.95
79,4.02
80,4.12
81,4.26
82,4.46
83,4.55
84,4.5
85,4.5
86,4.78
87,4.68
88,4.75
89,4.66
90,4.72
91,4.72
92,4.75
93,4.68
94,4.66
95,4.66
96,4.73
97,4.72
98,4.68
99,4.67
100,4.5
101,4.38
102,4.3
103,4.2
104,4.22
105,4.16
106,4.26
107,4.27
108,4.33
109,4.2
110,4.22
111,4.23
112,4.24
113,4.66
114,4.88
115,5.27
116,5.08
117,4.91
118,4.89
119,4.91
120,4.95
121,4.96
122,4.92
123,4.98
124,4.77
125,4.82
126,4.83
127,4.86
128,4.87
129,4.83
130,4.8
131,4.74
132,4.64
133,4.53
134,4.47
135,4.41
136,4.51
137,4.46
138,4.51
139,4.96
140,4.78
141,4.7
142,4.8
143,4.74
144,4.71
145,4.6
146,4.73
147,4.67
148,4.72
149,4.76
150,4.7
151,4.72
152,4.67
153,4.66
154,4.56
155,4.45
156,4.56
157,4.56
158,4.65
159,4.69
160,4.83
161,4.77
162,4.82
163,4.75
164,4.81
165,4.81
166,4.79
167,4.8
168,4.78
169,4.69
170,4.63
171,4.6
172,4.49
173,4.49
174,4.38
175,4.36
176,4.34
177,4.19
178,4.15
179,4.25
180,4.37
181,4.25
182,4.22
183,4.29
184,4.34
185,4.29
186,4.29
187,4.34
188,3.91
189,3.83
190,3.66
191,3.77
192,3.67
193,3.64
194,3.75
195,3.78
196,3.75
197,3.8
198,3.76
199,3.76
200,3.72
201,3.72
202,3.78
203,3.74
204,3.85
205,4.23
206,4.38
207,4.4
208,4.42
209,4.4
210,4.55
211,4.45
212,4.39
213,4.2
214,4.32
215,4.23
216,4.25
217,4.22
218,4.16
219,4.15
220,4.12
221,4.08
222,4.07
223,4.06
224,4.1
225,4.2
226,4.14
227,4.08
228,4.04
229,4.06
230,4.05
231,4.03
232,4.03
233,4.06
234,4.03
235,4.02
236,4.02
237,3.98
238,3.99
239,4.19
240,4.1
241,4.07
242,4.04
243,4.0
244,3.6
245,3.35
246,3.32
247,3.28
248,3.37
249,3.33
250,3.26
251,3.27
252,3.23
253,3.05
254,3.0
255,3.02
256,2.88
257,2.72
258,2.74
259,2.73
260,2.76
261,2.85
262,3.13
263,3.3
264,3.19
265,2.88
266,2.65
267,2.68
268,2.74
269,2.68
270,2.62
271,2.54
272,2.53
273,2.6
274,2.34
275,2.26
276,2.32
277,2.24
278,2.29
279,2.37
280,2.59
281,2.72
282,2.59
283,2.75
284,2.73
285,2.75
286,2.83
287,2.83
288,2.82
289,2.86
290,2.85
291,3.08
292,3.33
293,3.33
294,3.33
295,3.33
296,3.37
297,3.53
298,3.8
299,4.0
300,4.1
301,4.02
302,3.78
303,3.87
304,4.0
305,3.98
306,4.08
307,4.18
308,4.22
309,4.17
310,4.2
311,4.2
312,4.4
313,4.33
314,4.28
315,4.08
316,4.05
317,4.15
318,4.19
319,4.26
320,4.45
321,4.38
322,4.18
323,4.16
324,4.2
325,4.19
326,4.21
327,4.3
328,4.28
329,4.18
330,4.2
331,4.14
332,4.09
333,4.0
334,4.0
335,4.16
336,4.09
337,4.12
338,4.01
339,3.93
340,3.82
341,4.0
342,4.03
343,4.0
344,3.97
345,3.99
346,4.07
347,4.19
348,4.19
349,4.29
350,4.44
351,4.3
352,4.35
353,4.36
354,4.35
355,4.37
356,4.36
357,4.26
358,4.28
359,4.34
360,4.35
361,4.44
362,4.53
363,4.62
364,4.73
365,4.68
366,4.67
367,4.4
368,4.37
369,4.32
370,4.18
371,4.09
372,4.13
373,4.16
374,4.18
375,3.98
376,4.04
377,3.97
378,4.06
379,4.11
380,4.08
381,4.11
382,4.15
383,4.1
384,4.09
385,4.03
386,3.99
387,3.99
388,3.97
389,4.06
390,4.04
391,4.02
392,3.97
393,3.99
394,4.02
395,4.1
396,4.01
397,4.07
398,4.09
399,4.07
400,4.1
401,4.17
402,4.45
403,4.47
404,4.56
405,4.66
406,4.63
407,4.51
408,4.52
409,4.6
410,4.66
411,4.64
412,4.63
413,4.6
414,4.58
415,4.75
416,5.04
417,5.12
418,5.44
419,5.6
420,5.68
421,6.24
422,6.05
423,6.32
424,6.55
425,6.25
426,6.28
427,6.6
428,6.96
429,7.37
430,7.15
431,7.06
432,7.46
433,8.01
434,8.04
435,8.5
436,9.32
437,8.58
438,9.0
439,8.55
440,8.62
441,8.67
442,8.81
443,8.6
444,8.67
445,8.89
446,8.97
447,9.85
448,9.79
449,9.66
