,0,1
0,7.36,10475.0
1,7.28,10500.0
2,7.28,10500.0
3,7.24,10750.0
4,7.24,10650.0
5,7.04,10425.0
6,6.96,10325.0
7,7.1,10150.0
8,7.0,10125.0
9,6.98,10175.0
10,7.03,9950.0
11,7.06,10000.0
12,7.04,10000.0
13,7.04,9950.0
14,7.02,9925.0
15,6.96,9950.0
16,6.9,9925.0
17,6.88,9925.0
18,6.95,9950.0
19,6.98,9875.0
20,6.96,9900.0
21,6.9,9850.0
22,6.81,9825.0
23,6.68,9825.0
24,6.51,9775.0
25,6.31,9625.0
26,5.96,8900.0
27,6.05,9025.0
28,6.0,8950.0
29,6.06,9050.0
30,6.0,9125.0
31,5.86,8925.0
32,5.86,8975.0
33,5.99,9050.0
34,6.11,9050.0
35,6.02,9075.0
36,5.97,9100.0
37,6.03,9050.0
38,6.03,9050.0
39,5.93,8950.0
40,5.97,9050.0
41,5.95,9150.0
42,5.98,9150.0
43,5.95,9125.0
44,5.89,8875.0
45,5.85,8825.0
46,5.77,8425.0
47,5.63,8150.0
48,5.66,8300.0
49,5.67,8425.0
50,5.65,8450.0
51,5.62,8400.0
52,5.58,8400.0
53,5.27,8400.0
54,5.08,8350.0
55,5.26,8325.0
56,5.08,8200.0
57,4.88,8200.0
58,4.47,7925.0
59,4.56,7825.0
60,4.52,7900.0
61,4.63,8000.0
62,4.65,8000.0
63,4.61,7900.0
64,4.59,7900.0
65,4.76,7950.0
66,4.75,7925.0
67,4.71,7975.0
68,4.79,8300.0
69,4.75,8050.000000000001
70,4.54,8125.0
71,4.54,8175.000000000001
72,4.53,8500.0
73,4.53,8500.0
74,4.71,8500.0
75,4.52,8400.0
76,4.53,8375.0
77,4.36,8325.0
78,3.95,7500.0
79,4.02,6150.0
80,4.12,6150.0
81,4.26,6225.0
82,4.46,6350.0
83,4.55,6975.0
84,4.5,7425.0
85,4.5,7300.0
86,4.78,7450.0
87,4.68,7650.0
88,4.75,7475.0
89,4.66,7500.0
90,4.72,7500.0
91,4.72,7225.0
92,4.75,7250.0
93,4.68,7175.0
94,4.66,7150.0
95,4.66,7125.0
96,4.73,7150.0
97,4.72,7325.0
98,4.68,7125.0
99,4.67,7175.0
100,4.5,7000.0
101,4.38,6825.0
102,4.3,6825.0
103,4.2,6575.0
104,4.22,6550.0
105,4.16,6550.0
106,4.26,6450.0
107,4.27,6425.0
108,4.33,6500.0
109,4.2,6450.0
110,4.22,6450.0
111,4.23,6400.0
112,4.24,6425.0
113,4.66,6475.0
114,4.88,6425.0
115,5.27,6400.0
116,5.08,6450.0
117,4.91,6475.0
118,4.89,6300.0
119,4.91,6275.0
120,4.95,6375.0
121,4.96,6400.0
122,4.92,6500.0
123,4.98,6600.0
124,4.77,6750.0
125,4.82,6775.0
126,4.83,6775.0
127,4.86,6800.0
128,4.87,6750.0
129,4.83,6825.0
130,4.8,6825.0
131,4.74,6800.0
132,4.64,6600.0
133,4.53,6525.0
134,4.47,6725.0
135,4.41,6550.0
136,4.51,6675.0
137,4.46,6475.0
138,4.51,6500.0
139,4.96,6475.0
140,4.78,6500.0
141,4.7,6400.0
142,4.8,6450.0
143,4.74,6450.0
144,4.71,6325.0
145,4.6,6150.0
146,4.73,6125.0
147,4.67,6150.0
148,4.72,6125.0
149,4.76,6075.0
150,4.7,6050.0
151,4.72,5950.0
152,4.67,5750.0
153,4.66,5700.0
154,4.56,5700.0
155,4.45,5575.0
156,4.56,5650.0
157,4.56,5650.0
158,4.65,5850.0
159,4.69,5825.0
160,4.83,5825.0
161,4.77,5850.0
162,4.82,6100.0
163,4.75,6075.0
164,4.81,6100.0
165,4.81,6075.0
166,4.79,6075.0
167,4.8,6350.0
168,4.78,6350.0
169,4.69,6475.0
170,4.63,6350.0
171,4.6,6125.0
172,4.49,6075.0
173,4.49,6150.0
174,4.38,6000.0
175,4.36,5950.0
176,4.34,5900.0
177,4.19,5725.0
178,4.15,5750.0
179,4.25,5850.0
180,4.37,5925.0
181,4.25,5775.0
182,4.22,5775.0
183,4.29,5800.0
184,4.34,5800.0
185,4.29,5750.0
186,4.29,5800.0
187,4.34,5800.0
188,3.91,5900.0
189,3.83,6025.0
190,3.66,6025.0
191,3.77,6050.0
192,3.67,5975.0
193,3.64,5875.0
194,3.75,6000.0
195,3.78,6000.0
196,3.75,6000.0
197,3.8,6000.0
198,3.76,6150.0
199,3.76,6200.0
200,3.72,6175.0
201,3.72,6225.0
202,3.78,6225.0
203,3.74,6425.0
204,3.85,6425.0
205,4.23,6525.0
206,4.38,6900.0
207,4.4,7300.0
208,4.42,7125.0
209,4.4,7175.0
210,4.55,7200.0
211,4.45,7500.0
212,4.39,7700.0
213,4.2,7300.0
214,4.32,7300.0
215,4.23,7325.0
216,4.25,7300.0
217,4.22,7300.0
218,4.16,7300.0
219,4.15,7450.0
220,4.12,7525.0
221,4.08,8275.0
222,4.07,8375.0
223,4.06,8025.0
224,4.1,8225.0
225,4.2,8000.0
226,4.14,8200.0
227,4.08,8225.0
228,4.04,8100.0
229,4.06,8100.0
230,4.05,8074.999999999999
231,4.03,8025.0
232,4.03,8100.0
233,4.06,8250.0
234,4.03,8200.0
235,4.02,8100.0
236,4.02,8175.000000000001
237,3.98,8074.999999999999
238,3.99,8100.0
239,4.19,8100.0
240,4.1,8100.0
241,4.07,8074.999999999999
242,4.04,8074.999999999999
243,4.0,8025.0
244,3.6,8125.0
245,3.35,8175.000000000001
246,3.32,8074.999999999999
247,3.28,8074.999999999999
248,3.37,8074.999999999999
249,3.33,8025.0
250,3.26,8100.0
251,3.27,8074.999999999999
252,3.23,8000.0
253,3.05,7500.0
254,3.0,7475.0
255,3.02,7575.0
256,2.88,7500.0
257,2.72,7525.0
258,2.74,7475.0
259,2.73,7625.0
260,2.76,7600.0
261,2.85,7600.0
262,3.13,7600.0
263,3.3,7725.0
264,3.19,7775.0
265,2.88,7750.0
266,2.65,7750.0
267,2.68,7900.0
268,2.74,7875.0
269,2.68,7925.0
270,2.62,8000.0
271,2.54,7925.0
272,2.53,7950.0
273,2.6,7975.0
274,2.34,8025.0
275,2.26,8100.0
276,2.32,8425.0
277,2.24,8525.0
278,2.29,8750.0
279,2.37,8900.0
280,2.59,8800.0
281,2.72,8725.0
282,2.59,8425.0
283,2.75,8650.0
284,2.73,8600.0
285,2.75,8675.0
286,2.83,7725.0
287,2.83,7550.0
288,2.82,7500.0
289,2.86,7450.0
290,2.85,7425.0
291,3.08,7425.0
292,3.33,7475.0
293,3.33,7500.0
294,3.33,7425.0
295,3.33,7500.0
296,3.37,7475.0
297,3.53,7475.0
298,3.8,7500.0
299,4.0,7550.0
300,4.1,7625.0
301,4.02,7675.0
302,3.78,7675.0
303,3.87,7825.0
304,4.0,7725.0
305,3.98,7775.0
306,4.08,7850.0
307,4.18,8000.0
308,4.22,8125.0
309,4.17,8350.0
310,4.2,8250.0
311,4.2,8300.0
312,4.4,8275.0
313,4.33,8375.0
314,4.28,8475.0
315,4.08,8725.0
316,4.05,8650.0
317,4.15,8725.0
318,4.19,8775.0
319,4.26,8600.0
320,4.45,8675.0
321,4.38,8700.0
322,4.18,8825.0
323,4.16,8875.0
324,4.2,9350.0
325,4.19,9800.0
326,4.21,9700.0
327,4.3,10200.0
328,4.28,10325.0
329,4.18,10200.0
330,4.2,10325.0
331,4.14,10250.0
332,4.09,10250.0
333,4.0,9850.0
334,4.0,10025.0
335,4.16,10050.0
336,4.09,10075.0
337,4.12,9975.0
338,4.01,10025.0
339,3.93,9925.0
340,3.82,9850.0
341,4.0,10100.0
342,4.03,10275.0
343,4.0,10375.0
344,3.97,10325.0
345,3.99,10325.0
346,4.07,10300.0
347,4.19,10250.0
348,4.19,10250.0
349,4.29,10050.0
350,4.44,9925.0
351,4.3,9950.0
352,4.35,9875.0
353,4.36,9975.0
354,4.35,9775.0
355,4.37,9750.0
356,4.36,9675.0
357,4.26,9600.0
358,4.28,9475.0
359,4.34,9475.0
360,4.35,9525.0
361,4.44,9525.0
362,4.53,9450.0
363,4.62,9425.0
364,4.73,9375.0
365,4.68,9125.0
366,4.67,8875.0
367,4.4,8675.0
368,4.37,8825.0
369,4.32,8825.0
370,4.18,8700.0
371,4.09,8675.0
372,4.13,8700.0
373,4.16,8775.0
374,4.18,8825.0
375,3.98,8500.0
376,4.04,8750.0
377,3.97,8675.0
