,0
0,10475.0
1,10500.0
2,10500.0
3,10750.0
4,10650.0
5,10425.0
6,10325.0
7,10150.0
8,10125.0
9,10175.0
10,9950.0
11,10000.0
12,10000.0
13,9950.0
14,9925.0
15,9950.0
16,9925.0
17,9925.0
18,9950.0
19,9875.0
20,9900.0
21,9850.0
22,9825.0
23,9825.0
24,9775.0
25,9625.0
26,8900.0
27,9025.0
28,8950.0
29,9050.0
30,9125.0
31,8925.0
32,8975.0
33,9050.0
34,9050.0
35,9075.0
36,9100.0
37,9050.0
38,9050.0
39,8950.0
40,9050.0
41,9150.0
42,9150.0
43,9125.0
44,8875.0
45,8825.0
46,8425.0
47,8150.0
48,8300.0
49,8425.0
50,8450.0
51,8400.0
52,8400.0
53,8400.0
54,8350.0
55,8325.0
56,8200.0
57,8200.0
58,7925.0
59,7825.0
60,7900.0
61,8000.0
62,8000.0
63,7900.0
64,7900.0
65,7950.0
66,7925.0
67,7975.0
68,8300.0
69,8050.000000000001
70,8125.0
71,8175.000000000001
72,8500.0
73,8500.0
74,8500.0
75,8400.0
76,8375.0
77,8325.0
78,7500.0
79,6150.0
80,6150.0
81,6225.0
82,6350.0
83,6975.0
84,7425.0
85,7300.0
86,7450.0
87,7650.0
88,7475.0
89,7500.0
90,7500.0
91,7225.0
92,7250.0
93,7175.0
94,7150.0
95,7125.0
96,7150.0
97,7325.0
98,7125.0
99,7175.0
100,7000.0
101,6825.0
102,6825.0
103,6575.0
104,6550.0
105,6550.0
106,6450.0
107,6425.0
108,6500.0
109,6450.0
110,6450.0
111,6400.0
112,6425.0
113,6475.0
114,6425.0
115,6400.0
116,6450.0
117,6475.0
118,6300.0
119,6275.0
120,6375.0
121,6400.0
122,6500.0
123,6600.0
124,6750.0
125,6775.0
126,6775.0
127,6800.0
128,6750.0
129,6825.0
130,6825.0
131,6800.0
132,6600.0
133,6525.0
134,6725.0
135,6550.0
136,6675.0
137,6475.0
138,6500.0
139,6475.0
140,6500.0
141,6400.0
142,6450.0
143,6450.0
144,6325.0
145,6150.0
146,6125.0
147,6150.0
148,6125.0
149,6075.0
150,6050.0
151,5950.0
152,5750.0
153,5700.0
154,5700.0
155,5575.0
156,5650.0
157,5650.0
158,5850.0
159,5825.0
160,5825.0
161,5850.0
162,6100.0
163,6075.0
164,6100.0
165,6075.0
166,6075.0
167,6350.0
168,6350.0
169,6475.0
170,6350.0
171,6125.0
172,6075.0
173,6150.0
174,6000.0
175,5950.0
176,5900.0
177,5725.0
178,5750.0
179,5850.0
180,5925.0
181,5775.0
182,5775.0
183,5800.0
184,5800.0
185,5750.0
186,5800.0
187,5800.0
188,5900.0
189,6025.0
190,6025.0
191,6050.0
192,5975.0
193,5875.0
194,6000.0
195,6000.0
196,6000.0
197,6000.0
198,6150.0
199,6200.0
200,6175.0
201,6225.0
202,6225.0
203,6425.0
204,6425.0
205,6525.0
206,6900.0
207,7300.0
208,7125.0
209,7175.0
210,7200.0
211,7500.0
212,7700.0
213,7300.0
214,7300.0
215,7325.0
216,7300.0
217,7300.0
218,7300.0
219,7450.0
220,7525.0
221,8275.0
222,8375.0
223,8025.0
224,8225.0
225,8000.0
226,8200.0
227,8225.0
228,8100.0
229,8100.0
230,8074.999999999999
231,8025.0
232,8100.0
233,8250.0
234,8200.0
235,8100.0
236,8175.000000000001
237,8074.999999999999
238,8100.0
239,8100.0
240,8100.0
241,8074.999999999999
242,8074.999999999999
243,8025.0
244,8125.0
245,8175.000000000001
246,8074.999999999999
247,8074.999999999999
248,8074.999999999999
249,8025.0
250,8100.0
251,8074.999999999999
252,8000.0
253,7500.0
254,7475.0
255,7575.0
256,7500.0
257,7525.0
258,7475.0
259,7625.0
260,7600.0
261,7600.0
262,7600.0
263,7725.0
264,7775.0
265,7750.0
266,7750.0
267,7900.0
268,7875.0
269,7925.0
270,8000.0
271,7925.0
272,7950.0
273,7975.0
274,8025.0
275,8100.0
276,8425.0
277,8525.0
278,8750.0
279,8900.0
280,8800.0
281,8725.0
282,8425.0
283,8650.0
284,8600.0
285,8675.0
286,7725.0
287,7550.0
288,7500.0
289,7450.0
290,7425.0
291,7425.0
292,7475.0
293,7500.0
294,7425.0
295,7500.0
296,7475.0
297,7475.0
298,7500.0
299,7550.0
300,7625.0
301,7675.0
302,7675.0
303,7825.0
304,7725.0
305,7775.0
306,7850.0
307,8000.0
308,8125.0
309,8350.0
310,8250.0
311,8300.0
312,8275.0
313,8375.0
314,8475.0
315,8725.0
316,8650.0
317,8725.0
318,8775.0
319,8600.0
320,8675.0
321,8700.0
322,8825.0
323,8875.0
324,9350.0
325,9800.0
326,9700.0
327,10200.0
328,10325.0
329,10200.0
330,10325.0
331,10250.0
332,10250.0
333,9850.0
334,10025.0
335,10050.0
336,10075.0
337,9975.0
338,10025.0
339,9925.0
340,9850.0
341,10100.0
342,10275.0
343,10375.0
344,10325.0
345,10325.0
346,10300.0
347,10250.0
348,10250.0
349,10050.0
350,9925.0
351,9950.0
352,9875.0
353,9975.0
354,9775.0
355,9750.0
356,9675.0
357,9600.0
358,9475.0
359,9475.0
360,9525.0
361,9525.0
362,9450.0
363,9425.0
364,9375.0
365,9125.0
366,8875.0
367,8675.0
368,8825.0
369,8825.0
370,8700.0
371,8675.0
372,8700.0
373,8775.0
374,8825.0
375,8500.0
376,8750.0
377,8675.0
378,8575.0
379,9250.0
380,8950.0
381,9075.0
382,8950.0
383,8900.0
384,8825.0
385,8875.0
386,8850.0
387,8900.0
388,9000.0
389,9150.0
390,9375.0
391,9350.0
392,9350.0
393,9250.0
394,9225.0
395,9225.0
396,9175.0
397,9225.0
398,9075.0
399,9050.0
400,9050.0
401,9075.0
402,9075.0
403,9100.0
404,9125.0
405,9050.0
406,8900.0
407,8825.0
408,8825.0
409,8850.0
410,8925.0
411,8875.0
412,8950.0
413,9000.0
414,8975.0
415,8925.0
416,8900.0
417,8825.0
418,8775.0
419,8800.0
420,8800.0
421,8775.0
422,8700.0
423,8725.0
424,8775.0
425,8775.0
426,8750.0
427,8750.0
428,8850.0
429,8925.0
430,9025.0
431,9350.0
432,9300.0
433,9400.0
434,9350.0
435,9250.0
436,9300.0
437,9350.0
438,9400.0
439,9450.0
440,9750.0
441,9800.0
442,9825.0
443,9825.0
444,9875.0
445,9925.0
446,10000.0
447,10200.0
448,10250.0
449,10150.0
450,10150.0
451,10150.0
452,10200.0
453,10075.0
454,10000.0
455,10100.0
456,10150.0
457,10100.0
458,10225.0
459,10400.0
460,10775.0
461,10775.0
462,11300.0
463,11600.0
464,11425.0
465,10475.0
466,10400.0
467,10500.0
468,10525.0
469,10550.0
470,10600.0
471,10700.0
472,10625.0
473,10475.0
474,10300.0
475,10275.0
476,10250.0
477,9975.0
478,10100.0
479,10175.0
480,10125.0
481,10125.0
482,10125.0
483,10175.0
484,10100.0
485,10075.0
486,10150.0
487,10100.0
488,10200.0
489,10200.0
490,10125.0
491,10150.0
492,10100.0
493,9950.0
494,10025.0
495,10025.0
496,10050.0
497,9950.0
498,10000.0
499,9925.0
500,9850.0
501,9875.0
502,9975.0
503,10000.0
504,9975.0
505,9975.0
506,9950.0
507,10000.0
508,10075.0
509,10075.0
510,10200.0
511,10175.0
512,10200.0
513,10200.0
514,10150.0
515,10050.0
516,10150.0
517,10525.0
518,10575.0
519,10500.0
520,10525.0
521,10625.0
522,10625.0
523,10625.0
524,10625.0
525,10575.0
526,10575.0
527,10675.0
528,9450.0
529,9425.0
530,9400.0
531,9225.0
532,9225.0
533,9175.0
534,9300.0
535,9250.0
536,9100.0
537,9050.0
538,8900.0
539,8900.0
540,9025.0
541,9075.0
542,9000.0
543,8900.0
544,8900.0
545,8875.0
546,8800.0
547,8850.0
548,8850.0
549,8825.0
550,8825.0
551,8875.0
552,9050.0
553,9050.0
554,9075.0
555,9150.0
556,9125.0
557,9050.0
558,8925.0
559,8775.0
560,8850.0
561,9000.0
562,9075.0
563,9125.0
564,9175.0
565,9175.0
566,9175.0
567,9075.0
568,9100.0
569,9075.0
570,9125.0
571,9225.0
572,9225.0
573,9175.0
574,9250.0
575,9250.0
576,9300.0
577,9400.0
578,9275.0
579,9125.0
580,9150.0
581,9125.0
582,9250.0
583,9275.0
584,9350.0
585,9325.0
586,9275.0
587,9225.0
588,9175.0
589,9150.0
590,9125.0
591,9025.0
592,9025.0
593,9025.0
594,9000.0
595,9025.0
596,9000.0
597,9025.0
598,9000.0
599,9025.0
600,9000.0
601,9000.0
602,9000.0
603,8950.0
604,8925.0
605,8925.0
606,8975.0
607,9050.0
608,9000.0
609,9000.0
610,8900.0
611,8900.0
612,9000.0
613,9225.0
614,9250.0
615,9250.0
616,9175.0
617,9125.0
618,9150.0
619,9175.0
620,9100.0
621,9175.0
622,9150.0
623,9175.0
624,9300.0
625,9300.0
626,9250.0
627,9300.0
628,9350.0
629,9650.0
630,9600.0
631,9550.0
632,9475.0
633,9450.0
634,9475.0
635,9450.0
636,9425.0
637,9450.0
638,9325.0
639,9375.0
640,9275.0
641,9125.0
642,9175.0
643,9100.0
644,9275.0
645,9200.0
646,9175.0
647,9175.0
648,9200.0
649,9275.0
650,9225.0
651,9225.0
652,9175.0
653,9250.0
654,9275.0
655,9300.0
656,9475.0
657,9600.0
658,9575.0
659,9800.0
660,9850.0
661,9725.0
662,9750.0
663,9900.0
664,9750.0
665,9775.0
666,9800.0
667,9975.0
668,10000.0
669,9975.0
670,10100.0
671,10100.0
672,10025.0
673,9925.0
674,9850.0
675,9975.0
676,9950.0
677,10000.0
678,10025.0
679,9925.0
680,9900.0
681,9850.0
682,9950.0
683,9900.0
684,9650.0
685,9775.0
686,9825.0
687,9775.0
688,9775.0
689,9950.0
690,10150.0
691,10250.0
692,10350.0
693,10225.0
694,10375.0
695,10700.0
696,10625.0
697,10600.0
698,10575.0
699,10700.0
700,10625.0
701,10750.0
702,10850.0
703,11100.0
704,11175.0
705,11125.0
706,11150.0
707,11150.0
708,10875.0
709,10875.0
710,11050.0
711,11150.0
712,11175.0
713,11200.0
714,11150.0
715,11100.0
716,11100.0
717,11050.0
718,10975.0
719,10750.0
720,10850.0
721,10950.0
722,10850.0
723,10725.0
724,10600.0
725,10575.0
726,10525.0
727,10525.0
728,10575.0
