,0
0,10200.0
1,10200.0
2,10125.0
3,10150.0
4,10100.0
5,9950.0
6,10025.0
7,10025.0
8,10050.0
9,9950.0
10,10000.0
11,9925.0
12,9850.0
13,9875.0
14,9975.0
15,10000.0
16,9975.0
17,9975.0
18,9950.0
19,10000.0
20,10075.0
21,10075.0
22,10200.0
23,10175.0
24,10200.0
25,10200.0
26,10150.0
27,10050.0
28,10150.0
29,10525.0
30,10575.0
31,10500.0
32,10525.0
33,10625.0
34,10625.0
35,10625.0
36,10625.0
37,10575.0
38,10575.0
39,10675.0
40,9450.0
41,9425.0
42,9400.0
43,9225.0
44,9225.0
45,9175.0
46,9300.0
47,9250.0
48,9100.0
49,9050.0
50,8900.0
51,8900.0
52,9025.0
53,9075.0
54,9000.0
55,8900.0
56,8900.0
57,8875.0
58,8800.0
59,8850.0
60,8850.0
61,8825.0
62,8825.0
63,8875.0
64,9050.0
65,9050.0
66,9075.0
67,9150.0
68,9125.0
69,9050.0
70,8925.0
71,8775.0
72,8850.0
73,9000.0
74,9075.0
75,9125.0
76,9175.0
77,9175.0
78,9175.0
79,9075.0
80,9100.0
81,9075.0
82,9125.0
83,9225.0
84,9225.0
85,9175.0
86,9250.0
87,9250.0
88,9300.0
89,9400.0
90,9275.0
91,9125.0
92,9150.0
93,9125.0
94,9250.0
95,9275.0
96,9350.0
97,9325.0
98,9275.0
99,9225.0
100,9175.0
101,9150.0
102,9125.0
103,9025.0
104,9025.0
105,9025.0
106,9000.0
107,9025.0
108,9000.0
109,9025.0
110,9000.0
111,9025.0
112,9000.0
113,9000.0
114,9000.0
115,8950.0
116,8925.0
117,8925.0
118,8975.0
119,9050.0
120,9000.0
121,9000.0
122,8900.0
123,8900.0
124,9000.0
125,9225.0
126,9250.0
127,9250.0
128,9175.0
129,9125.0
130,9150.0
131,9175.0
132,9100.0
133,9175.0
134,9150.0
135,9175.0
136,9300.0
137,9300.0
138,9250.0
139,9300.0
140,9350.0
141,9650.0
142,9600.0
143,9550.0
144,9475.0
145,9450.0
146,9475.0
147,9450.0
148,9425.0
149,9450.0
150,9325.0
151,9375.0
152,9275.0
153,9125.0
154,9175.0
155,9100.0
156,9275.0
157,9200.0
158,9175.0
159,9175.0
160,9200.0
161,9275.0
162,9225.0
163,9225.0
164,9175.0
165,9250.0
166,9275.0
167,9300.0
168,9475.0
169,9600.0
170,9575.0
171,9800.0
172,9850.0
173,9725.0
174,9750.0
175,9900.0
176,9750.0
177,9775.0
178,9800.0
179,9975.0
180,10000.0
181,9975.0
182,10100.0
183,10100.0
184,10025.0
185,9925.0
186,9850.0
187,9975.0
188,9950.0
189,10000.0
190,10025.0
191,9925.0
192,9900.0
193,9850.0
194,9950.0
195,9900.0
196,9650.0
197,9775.0
198,9825.0
199,9775.0
200,9775.0
201,9950.0
202,10150.0
203,10250.0
204,10350.0
205,10225.0
206,10375.0
207,10700.0
208,10625.0
209,10600.0
210,10575.0
211,10700.0
212,10625.0
213,10750.0
214,10850.0
215,11100.0
216,11175.0
217,11125.0
218,11150.0
219,11150.0
220,10875.0
221,10875.0
222,11050.0
223,11150.0
224,11175.0
225,11200.0
226,11150.0
227,11100.0
228,11100.0
229,11050.0
230,10975.0
231,10750.0
232,10850.0
233,10950.0
234,10850.0
235,10725.0
236,10600.0
237,10575.0
238,10525.0
239,10525.0
240,10575.0
241,10550.0
242,10425.0
243,10350.0
244,10300.0
245,10275.0
246,10700.0
247,10625.0
248,10525.0
249,10450.0
250,10500.0
251,10425.0
252,10350.0
253,10350.0
254,10350.0
