,0
0,48.75
1,49.0
2,53.9
3,55.8
4,55.8
5,53.1
6,53.9
7,52.5
8,51.7
9,50.0
10,51.6
11,52.5
12,53.1
13,55.0
14,60.5
15,59.8
16,61.2
17,61.9
18,60.9
19,59.0
20,60.1
21,62.1
22,60.7
23,60.5
24,60.4
25,61.0
26,60.1
27,61.9
28,61.0
29,60.5
30,60.4
31,58.0
32,58.8
33,62.8
34,61.7
35,64.0
36,64.6
37,63.4
38,63.0
39,62.4
40,62.0
41,61.3
42,61.7
43,62.5
44,61.2
45,60.4
46,61.0
47,60.4
48,61.4
49,61.0
50,60.7
51,62.3
52,61.2
53,60.7
54,60.8
55,60.9
56,66.9
57,64.7
58,64.8
59,65.2
60,65.0
61,64.6
62,62.8
63,64.2
64,63.7
65,63.5
66,64.0
67,65.5
68,67.0
69,65.9
70,64.9
71,63.2
72,62.1
73,58.5
74,59.2
75,60.2
76,61.3
77,60.4
78,63.5
79,62.2
80,62.7
81,62.8
82,63.6
83,64.2
84,64.6
85,66.0
86,66.4
87,66.4
88,71.2
89,71.1
90,70.1
91,68.0
92,71.7
93,70.0
94,69.7
95,69.8
96,69.6
97,70.8
98,70.0
99,68.1
100,67.5
101,67.8
102,66.0
103,63.5
104,63.5
105,65.0
106,65.6
107,65.8
108,66.2
109,65.9
110,65.3
111,64.8
112,63.1
113,62.2
114,61.0
115,63.4
116,62.8
117,61.3
118,61.5
119,61.8
120,61.2
121,61.0
122,62.6
123,60.9
124,59.4
125,58.5
126,53.2
127,55.1
128,55.0
129,54.4
130,53.4
131,53.3
132,55.0
133,56.7
134,54.8
135,56.1
136,53.5
137,55.9
138,57.0
139,55.9
140,56.1
141,55.2
142,56.4
143,56.7
144,57.8
145,57.5
146,58.3
147,57.5
148,57.9
149,56.0
150,55.2
151,56.6
152,54.4
153,53.2
154,52.1
155,52.9
156,54.3
157,53.1
158,53.1
159,53.3
160,53.2
161,52.7
162,51.3
163,51.8
164,52.0
165,53.2
166,53.2
167,51.6
168,51.8
169,52.3
170,52.5
171,54.7
172,54.7
173,55.3
174,58.8
175,57.5
176,56.8
177,55.9
178,50.4
179,50.9
180,48.45
181,48.6
182,49.2
183,49.2
184,48.15
185,45.5
186,45.15
187,46.4
188,45.6
189,45.8
190,46.1
191,46.3
192,45.85
193,46.95
194,46.3
195,45.0
196,41.0
197,40.55
198,39.4
199,37.55
200,38.15
201,40.45
202,41.9
203,41.55
204,41.7
205,42.15
206,42.0
207,41.4
208,41.9
209,43.85
210,42.8
211,42.85
212,42.85
213,42.8
214,44.8
215,44.15
216,44.75
217,44.25
218,43.8
219,43.15
220,43.7
221,42.9
222,41.25
223,41.4
224,41.9
225,42.2
226,41.9
227,42.55
228,40.95
229,41.3
230,40.95
231,39.75
232,38.8
233,39.8
234,39.95
235,39.7
236,39.0
237,37.5
238,37.05
239,37.5
240,36.8
241,35.75
242,33.0
243,33.05
244,33.55
245,35.0
246,35.8
247,36.0
248,35.3
249,34.7
250,35.4
251,37.05
252,36.6
253,36.3
254,36.3
