,0
0,196.5
1,198.0
2,198.0
3,197.5
4,202.5
5,203.5
6,205.5
7,207.5
8,206.0
9,206.0
10,204.5
11,204.0
12,203.5
13,203.0
14,205.0
15,205.0
16,205.5
17,207.0
18,207.0
19,203.0
20,207.0
21,209.0
22,209.0
23,212.0
24,210.5
25,211.5
26,213.0
27,212.0
28,207.5
29,208.0
30,207.0
31,208.0
32,211.5
33,213.0
34,216.5
35,215.5
36,218.0
37,217.0
38,215.0
39,211.5
40,208.5
41,210.0
42,208.5
43,209.0
44,207.0
45,208.5
46,207.5
47,206.0
48,206.0
49,212.0
50,210.5
51,214.5
52,213.0
53,213.0
54,214.0
55,214.5
56,215.5
57,214.0
58,214.5
59,214.0
60,213.0
61,215.5
62,213.0
63,214.5
64,212.0
65,216.0
66,213.5
67,213.0
68,216.0
69,217.5
70,214.5
71,214.0
72,212.5
73,211.0
74,214.0
75,213.0
76,214.0
77,212.5
78,211.5
79,214.5
80,215.5
81,217.0
82,217.5
83,216.0
84,216.0
85,217.5
86,216.5
87,216.5
88,217.5
89,218.0
90,217.0
91,217.0
92,218.0
93,217.0
94,219.0
95,218.0
96,218.5
97,218.5
98,219.5
99,221.5
100,221.5
101,221.0
102,218.5
103,217.0
104,214.0
105,215.0
106,214.0
107,216.5
108,216.5
109,220.5
110,222.5
111,224.5
112,224.5
113,233.0
114,237.5
115,237.5
116,238.0
117,235.5
118,237.5
119,239.0
120,237.5
121,239.0
122,238.0
123,238.0
124,236.0
125,239.0
126,243.0
127,243.0
128,242.5
129,241.0
130,239.0
131,239.5
132,244.0
133,242.5
134,241.0
135,240.5
136,239.5
137,240.0
138,237.5
139,238.0
140,241.5
141,238.5
142,243.0
143,242.0
144,242.5
145,244.0
146,237.0
147,234.0
148,234.5
149,226.0
150,231.0
151,234.0
152,229.5
153,227.0
154,226.5
155,227.0
156,227.5
157,227.5
158,227.0
159,230.5
160,230.0
161,227.0
162,225.0
163,224.5
164,225.0
165,227.5
166,228.5
167,226.0
168,225.0
169,226.0
170,229.5
171,232.5
172,237.0
173,239.5
174,240.0
175,242.0
176,242.0
177,236.5
178,235.0
179,237.0
180,240.0
181,240.5
182,242.0
183,248.5
184,255.5
185,261.5
186,266.0
187,258.0
188,258.0
189,255.0
190,258.5
191,253.0
192,255.0
193,259.5
194,259.5
195,253.0
196,239.0
197,240.0
198,238.5
199,232.5
200,236.5
201,242.5
202,239.5
203,245.0
204,246.5
205,246.0
206,243.0
207,240.0
208,241.5
209,250.0
210,247.0
211,249.5
212,250.5
213,254.0
214,259.0
215,257.0
216,255.0
217,255.0
218,255.0
219,253.0
220,252.5
221,251.5
222,245.0
223,243.5
224,251.0
225,245.0
226,244.0
227,246.0
228,247.5
229,246.5
230,244.0
231,245.0
232,245.5
233,248.0
234,245.0
235,244.5
236,243.5
237,238.0
238,238.0
239,244.5
240,229.0
241,226.5
242,227.0
243,225.0
244,222.0
245,223.5
246,227.0
247,223.0
248,220.5
249,223.0
250,223.5
251,228.0
252,229.5
253,229.5
254,233.0
