,0,1
0,13.35,10200.0
1,12.7,10200.0
2,12.85,10125.0
3,12.85,10150.0
4,11.6,10100.0
5,12.35,9950.0
6,13.0,10025.0
7,12.7,10025.0
8,12.45,10050.0
9,12.8,9950.0
10,12.5,10000.0
11,13.1,9925.0
12,13.45,9850.0
13,13.95,9875.0
14,14.1,9975.0
15,14.0,10000.0
16,14.0,9975.0
17,14.0,9975.0
18,13.9,9950.0
19,14.4,10000.0
20,15.2,10075.0
21,16.7,10075.0
22,17.0,10200.0
23,16.8,10175.0
24,17.95,10200.0
25,17.85,10200.0
26,17.85,10150.0
27,17.0,10050.0
28,16.8,10150.0
29,16.45,10525.0
30,16.1,10575.0
31,16.0,10500.0
32,16.75,10525.0
33,16.9,10625.0
34,16.6,10625.0
35,16.75,10625.0
36,16.4,10625.0
37,16.2,10575.0
38,15.95,10575.0
39,16.25,10675.0
40,16.25,9450.0
41,16.6,9425.0
42,16.7,9400.0
43,16.8,9225.0
44,16.6,9225.0
45,16.2,9175.0
46,16.6,9300.0
47,16.8,9250.0
48,16.5,9100.0
49,16.7,9050.0
50,16.65,8900.0
51,16.15,8900.0
52,15.5,9025.0
53,14.75,9075.0
54,14.9,9000.0
55,15.6,8900.0
56,15.0,8900.0
57,15.5,8875.0
58,15.5,8800.0
59,16.15,8850.0
60,16.85,8850.0
61,16.6,8825.0
62,16.75,8825.0
63,16.5,8875.0
64,15.9,9050.0
65,16.35,9050.0
66,16.3,9075.0
67,16.8,9150.0
68,17.0,9125.0
69,17.6,9050.0
70,17.2,8925.0
71,16.85,8775.0
72,16.9,8850.0
73,16.55,9000.0
74,37.0,9075.0
75,40.7,9125.0
76,43.6,9175.0
77,42.1,9175.0
78,42.8,9175.0
79,45.15,9075.0
80,48.5,9100.0
81,48.0,9075.0
82,46.5,9125.0
83,47.55,9225.0
84,48.3,9225.0
85,48.35,9175.0
86,48.3,9250.0
87,47.3,9250.0
88,48.35,9300.0
89,48.7,9400.0
90,49.5,9275.0
91,49.25,9125.0
92,49.9,9150.0
93,48.7,9125.0
94,47.05,9250.0
95,45.8,9275.0
96,45.7,9350.0
97,45.0,9325.0
98,46.3,9275.0
99,48.3,9225.0
100,48.35,9175.0
101,47.85,9150.0
102,49.1,9125.0
103,50.3,9025.0
104,54.6,9025.0
105,56.0,9025.0
106,59.7,9000.0
107,58.6,9025.0
108,56.5,9000.0
109,57.0,9025.0
110,58.1,9000.0
111,60.1,9025.0
112,58.5,9000.0
113,59.0,9000.0
114,57.3,9000.0
115,59.3,8950.0
116,54.5,8925.0
117,52.7,8925.0
118,55.0,8975.0
119,54.8,9050.0
120,54.7,9000.0
121,54.7,9000.0
122,54.6,8900.0
123,57.9,8900.0
124,54.6,9000.0
125,52.3,9225.0
126,52.0,9250.0
127,47.8,9250.0
128,49.9,9175.0
129,49.85,9125.0
130,49.35,9150.0
131,51.2,9175.0
132,51.7,9100.0
133,51.7,9175.0
134,50.0,9150.0
135,46.35,9175.0
136,47.45,9300.0
137,48.0,9300.0
138,45.9,9250.0
139,45.15,9300.0
140,47.4,9350.0
141,46.15,9650.0
142,46.5,9600.0
143,46.5,9550.0
144,43.6,9475.0
145,39.3,9450.0
146,39.85,9475.0
147,41.2,9450.0
148,40.95,9425.0
149,43.7,9450.0
150,42.5,9325.0
151,42.4,9375.0
152,42.0,9275.0
153,43.7,9125.0
154,43.1,9175.0
155,43.9,9100.0
156,42.0,9275.0
157,40.5,9200.0
158,40.3,9175.0
159,40.9,9175.0
160,42.8,9200.0
161,44.2,9275.0
162,43.6,9225.0
163,44.35,9225.0
164,44.9,9175.0
165,44.0,9250.0
166,42.0,9275.0
167,42.9,9300.0
168,41.1,9475.0
169,41.1,9600.0
170,41.0,9575.0
171,41.5,9800.0
172,41.5,9850.0
173,42.7,9725.0
174,43.0,9750.0
175,41.55,9900.0
176,41.85,9750.0
177,44.6,9775.0
178,43.4,9800.0
179,43.2,9975.0
180,42.7,10000.0
181,44.0,9975.0
182,44.25,10100.0
183,45.7,10100.0
184,45.7,10025.0
185,46.1,9925.0
186,42.9,9850.0
187,39.95,9975.0
188,42.8,9950.0
189,39.9,10000.0
190,38.0,10025.0
191,37.6,9925.0
192,40.7,9900.0
193,42.5,9850.0
194,42.1,9950.0
195,42.35,9900.0
196,43.45,9650.0
197,43.0,9775.0
198,42.0,9825.0
199,42.0,9775.0
200,42.9,9775.0
201,42.15,9950.0
202,44.2,10150.0
203,46.65,10250.0
204,48.65,10350.0
205,49.75,10225.0
206,49.5,10375.0
207,48.75,10700.0
208,47.9,10625.0
209,46.5,10600.0
210,47.0,10575.0
211,46.95,10700.0
212,47.6,10625.0
213,45.55,10750.0
214,46.75,10850.0
215,51.4,11100.0
216,48.3,11175.0
217,49.1,11125.0
218,50.0,11150.0
219,53.2,11150.0
220,51.7,10875.0
221,53.4,10875.0
222,52.1,11050.0
223,50.4,11150.0
224,49.4,11175.0
225,48.35,11200.0
226,50.8,11150.0
227,49.15,11100.0
228,46.85,11100.0
229,47.1,11050.0
230,47.4,10975.0
231,45.8,10750.0
232,46.2,10850.0
233,43.45,10950.0
234,46.2,10850.0
235,43.25,10725.0
236,45.55,10600.0
237,47.55,10575.0
238,44.8,10525.0
239,43.15,10525.0
240,43.35,10575.0
241,42.7,10550.0
242,42.6,10425.0
243,42.0,10350.0
244,42.1,10300.0
245,40.8,10275.0
