,0
0,13.35
1,12.7
2,12.85
3,12.85
4,11.6
5,12.35
6,13.0
7,12.7
8,12.45
9,12.8
10,12.5
11,13.1
12,13.45
13,13.95
14,14.1
15,14.0
16,14.0
17,14.0
18,13.9
19,14.4
20,15.2
21,16.7
22,17.0
23,16.8
24,17.95
25,17.85
26,17.85
27,17.0
28,16.8
29,16.45
30,16.1
31,16.0
32,16.75
33,16.9
34,16.6
35,16.75
36,16.4
37,16.2
38,15.95
39,16.25
40,16.25
41,16.6
42,16.7
43,16.8
44,16.6
45,16.2
46,16.6
47,16.8
48,16.5
49,16.7
50,16.65
51,16.15
52,15.5
53,14.75
54,14.9
55,15.6
56,15.0
57,15.5
58,15.5
59,16.15
60,16.85
61,16.6
62,16.75
63,16.5
64,15.9
65,16.35
66,16.3
67,16.8
68,17.0
69,17.6
70,17.2
71,16.85
72,16.9
73,16.55
74,37.0
75,40.7
76,43.6
77,42.1
78,42.8
79,45.15
80,48.5
81,48.0
82,46.5
83,47.55
84,48.3
85,48.35
86,48.3
87,47.3
88,48.35
89,48.7
90,49.5
91,49.25
92,49.9
93,48.7
94,47.05
95,45.8
96,45.7
97,45.0
98,46.3
99,48.3
100,48.35
101,47.85
102,49.1
103,50.3
104,54.6
105,56.0
106,59.7
107,58.6
108,56.5
109,57.0
110,58.1
111,60.1
112,58.5
113,59.0
114,57.3
115,59.3
116,54.5
117,52.7
118,55.0
119,54.8
120,54.7
121,54.7
122,54.6
123,57.9
124,54.6
125,52.3
126,52.0
127,47.8
128,49.9
129,49.85
130,49.35
131,51.2
132,51.7
133,51.7
134,50.0
135,46.35
136,47.45
137,48.0
138,45.9
139,45.15
140,47.4
141,46.15
142,46.5
143,46.5
144,43.6
145,39.3
146,39.85
147,41.2
148,40.95
149,43.7
150,42.5
151,42.4
152,42.0
153,43.7
154,43.1
155,43.9
156,42.0
157,40.5
158,40.3
159,40.9
160,42.8
161,44.2
162,43.6
163,44.35
164,44.9
165,44.0
166,42.0
167,42.9
168,41.1
169,41.1
170,41.0
171,41.5
172,41.5
173,42.7
174,43.0
175,41.55
176,41.85
177,44.6
178,43.4
179,43.2
180,42.7
181,44.0
182,44.25
183,45.7
184,45.7
185,46.1
186,42.9
187,39.95
188,42.8
189,39.9
190,38.0
191,37.6
192,40.7
193,42.5
194,42.1
195,42.35
196,43.45
197,43.0
198,42.0
199,42.0
200,42.9
201,42.15
202,44.2
203,46.65
204,48.65
205,49.75
206,49.5
207,48.75
208,47.9
209,46.5
210,47.0
211,46.95
212,47.6
213,45.55
214,46.75
215,51.4
216,48.3
217,49.1
218,50.0
219,53.2
220,51.7
221,53.4
222,52.1
223,50.4
224,49.4
225,48.35
226,50.8
227,49.15
228,46.85
229,47.1
230,47.4
231,45.8
232,46.2
233,43.45
234,46.2
235,43.25
236,45.55
237,47.55
238,44.8
239,43.15
240,43.35
241,42.7
242,42.6
243,42.0
244,42.1
245,40.8
